tcu_lengths,tcu_words,tcu_syllables
3732.0,10,15
530.0,2,2
6861.0,25,32
420.0,1,1
4170.0,15,24
4932.0,21,27
5020.0,15,18
360.0,2,2
780.0,5,6
1680.0,7,9
5310.0,17,21
4980.0,14,20
451.0,2,2
910.0,4,5
2631.0,4,4
13894.0,53,69
7662.0,33,40
484.0,1,1
1420.0,4,6
826.0,4,5
3960.0,20,22
3720.0,6,12
2404.0,11,12
2826.0,9,12
1150.0,4,5
2680.0,5,11
1051.0,2,3
4790.0,14,22
580.0,1,2
271.0,1,1
2630.0,9,10
3960.0,15,18
280.0,2,2
650.0,2,2
4502.0,13,13
9936.0,30,36
335.0,2,2
2800.0,10,11
297.0,1,1
633.0,2,2
670.0,3,3
3172.0,3,3
650.0,3,3
5021.0,9,9
2280.0,10,10
1680.0,5,6
3488.0,11,11
1364.0,4,6
1470.0,6,8
230.0,1,1
780.0,3,4
1470.0,3,4
390.0,1,1
3644.0,13,15
799.0,3,3
410.0,1,1
1040.0,3,6
298.0,1,1
1773.0,6,9
1349.0,6,6
6111.0,16,17
3393.0,15,18
370.0,1,1
3700.0,12,13
460.0,2,2
3380.0,8,10
1220.0,5,6
170.0,1,1
340.0,2,2
2290.0,12,12
2092.0,5,6
352.0,1,1
279.0,1,1
90.0,1,1
1900.0,11,12
5863.0,20,29
453.0,2,2
2940.0,10,15
418.0,2,2
2850.0,9,10
322.0,1,1
5753.0,20,27
530.0,3,3
140.0,1,1
2250.0,14,16
1081.0,4,4
949.0,7,8
1434.0,5,7
4370.0,10,14
3748.0,12,15
2060.0,4,7
2199.0,6,10
6010.0,20,35
838.0,3,3
1776.0,9,13
294.0,2,2
1223.0,5,6
1202.0,8,9
2944.0,8,16
210.0,1,1
380.0,1,1
2514.0,13,17
385.0,2,2
2100.0,8,14
1941.0,7,9
3423.0,14,18
364.0,2,2
2807.0,13,19
3363.0,9,9
410.0,2,2
2907.0,7,12
263.0,2,2
1159.0,2,2
891.0,7,7
1256.0,7,8
343.0,1,1
334.0,1,1
570.0,2,2
5739.0,24,25
2269.0,8,16
278.0,2,2
908.0,5,5
5660.0,18,25
1440.0,6,7
4352.0,21,27
339.0,2,2
1780.0,8,11
309.0,2,2
2088.0,6,7
1280.0,6,8
830.0,6,6
280.0,2,2
1030.0,4,4
603.0,4,4
599.0,3,3
2310.0,9,16
406.0,2,2
207.0,1,1
3506.0,11,12
388.0,1,1
385.0,1,1
1964.0,11,13
280.0,1,1
172.0,1,1
310.0,1,1
1270.0,7,10
2943.0,9,15
419.0,1,1
4710.0,25,34
302.0,2,2
110.0,1,1
246.0,2,2
760.0,4,4
1255.0,4,5
736.0,2,4
320.0,1,1
520.0,2,2
618.0,3,4
4429.0,11,18
2180.0,11,12
5090.0,19,24
3600.0,9,9
232.0,2,2
5102.0,9,14
3457.0,8,9
109.0,1,1
4567.0,10,12
1690.0,6,10
226.0,2,2
3820.0,12,17
180.0,2,2
1532.0,6,8
3439.0,10,12
3389.0,11,11
2166.0,12,13
206.0,1,1
755.0,2,4
2629.0,6,10
172.0,2,2
2272.0,6,8
5602.0,14,18
1869.0,8,9
5281.0,20,25
2557.0,13,16
4657.0,17,24
5509.0,18,25
2501.0,7,8
659.0,3,3
2214.0,5,5
206.0,1,1
6917.0,24,30
13056.0,36,50
4508.0,14,17
541.0,2,2
181.0,1,1
5880.0,21,29
233.0,2,2
339.0,2,2
6980.0,25,38
688.0,3,3
2834.0,11,16
331.0,2,2
4620.0,15,18
2198.0,8,9
255.0,1,1
370.0,1,1
868.0,2,4
264.0,1,1
1618.0,6,8
165.0,1,1
3350.0,11,16
1370.0,5,10
183.0,2,2
1390.0,5,7
191.0,1,1
271.0,2,2
1687.0,6,6
8250.0,21,35
5855.0,2,2
3240.0,11,14
1650.0,3,5
2050.0,5,10
3992.0,13,16
246.0,1,1
339.0,1,1
230.0,1,1
3746.0,22,24
3838.0,16,21
1379.0,3,5
8814.0,27,39
1290.0,6,7
2360.0,5,7
440.0,2,2
2096.0,8,9
334.0,3,3
1858.0,7,11
2620.0,10,13
14752.0,38,54
496.0,1,1
5700.0,17,23
5115.0,9,13
6290.0,16,16
3300.0,13,18
410.0,2,2
3000.0,13,17
3644.0,4,5
13823.0,44,56
540.0,2,2
1410.0,8,12
14702.0,36,49
15272.0,8,11
5400.0,22,25
338.0,1,1
5564.0,18,25
7635.0,7,8
3910.0,14,18
1140.0,6,6
1820.0,6,8
360.0,1,1
1910.0,5,9
1970.0,7,8
440.0,2,2
2370.0,11,13
7189.0,21,32
350.0,1,1
330.0,2,2
4020.0,16,18
1140.0,4,5
791.0,3,3
3199.0,10,11
6261.0,22,29
396.0,2,2
5874.0,18,20
9076.0,22,44
820.0,3,3
670.0,3,3
4580.0,16,23
480.0,1,1
10210.0,29,41
2360.0,11,11
870.0,4,5
570.0,3,4
2280.0,10,15
2570.0,11,15
300.0,1,1
5279.0,15,25
367.0,1,1
2622.0,9,13
2672.0,12,15
400.0,1,1
430.0,1,1
281.0,1,1
2963.0,8,9
1152.0,3,6
591.0,3,3
490.0,2,2
11871.0,28,36
8667.0,24,33
450.0,1,1
550.0,1,3
730.0,4,4
8775.0,28,40
450.0,1,1
2223.0,5,7
6641.0,19,25
2020.0,8,11
4832.0,9,9
2093.0,5,11
420.0,2,2
2333.0,7,8
3401.0,13,18
4163.0,11,16
3510.0,12,13
1532.0,4,7
6726.0,23,35
1008.0,3,6
503.0,1,1
329.0,1,1
630.0,3,3
3704.0,7,8
1162.0,5,6
406.0,4,4
390.0,2,2
1896.0,5,6
1186.0,4,4
6107.0,18,20
3540.0,14,15
9451.0,18,25
660.0,3,3
9580.0,35,47
380.0,1,1
11590.0,33,45
2150.0,6,8
370.0,2,2
5602.0,21,26
463.0,1,1
1018.0,4,5
1380.0,8,8
1160.0,5,6
409.0,1,1
454.0,1,1
1820.0,9,12
318.0,3,3
3980.0,13,21
1750.0,3,3
460.0,2,2
5520.0,25,32
4237.0,12,18
450.0,2,2
1939.0,6,7
527.0,1,1
2212.0,5,7
260.0,1,1
310.0,1,1
1100.0,5,6
305.0,1,1
710.0,3,5
110.0,1,1
1120.0,3,5
1068.0,2,3
580.0,2,2
300.0,2,2
2050.0,9,11
410.0,1,1
4223.0,13,16
2270.0,7,7
400.0,2,2
2980.0,13,16
380.0,2,2
2790.0,14,15
780.0,3,3
1990.0,8,10
1790.0,7,10
2900.0,12,16
2353.0,3,4
901.0,4,4
445.0,2,2
290.0,1,1
2470.0,7,10
1685.0,3,4
560.0,1,1
2104.0,9,11
541.0,1,2
690.0,3,3
400.0,1,1
1170.0,2,4
