turn_lengths,turn_words,turn_syllables,tcus_per_turn
57561.0,163,198,15
7087.0,51,63,2
1390.0,1,1,1
1950.0,14,16,3
1290.0,1,1,1
300.0,5,7,1
330.0,1,1,1
30.0,1,2,1
1540.0,1,1,1
6995.0,30,38,4
4590.0,1,1,1
360.0,13,23,1
5620.0,1,1,1
560.0,24,30,1
3869.0,1,1,1
560.0,7,11,1
11408.0,5,5,2
410.0,33,42,1
2089.0,3,3,2
270.0,5,5,1
7455.0,2,2,1
3629.0,29,34,2
73162.0,219,267,12
12576.0,46,64,4
49318.0,164,194,17
5522.0,24,31,3
8345.0,14,16,3
485.0,9,12,1
786.0,2,2,1
742.0,2,3,1
349.0,4,4,1
391.0,22,32,2
4820.0,3,3,2
373.0,15,23,1
2866.0,1,1,1
437.0,13,18,1
23336.0,62,82,5
2238.0,1,1,1
682.0,30,38,2
1733.0,2,2,1
571.0,11,14,1
14455.0,2,2,2
11189.0,81,124,5
9590.0,2,2,1
2697.0,45,61,3
5086.0,2,2,1
4191.0,35,45,3
1062.0,2,2,1
4372.0,18,26,3
850.0,2,2,1
813.0,2,2,1
5228.0,4,4,1
19262.0,65,74,4
3215.0,29,44,2
10355.0,29,43,3
6857.0,16,24,2
41732.0,128,180,10
3887.0,3,3,2
18042.0,62,91,3
360.0,15,20,1
341.0,2,2,1
4826.0,18,23,3
5464.0,4,4,2
184.0,19,25,1
10469.0,40,55,4
840.0,3,3,1
4651.0,20,26,4
1482.0,3,3,1
2207.0,9,15,1
360.0,10,13,1
6406.0,12,13,3
331.0,1,3,1
3835.0,25,34,4
3054.0,2,2,1
274.0,16,20,1
1727.0,1,1,1
679.0,9,13,2
2747.0,1,1,1
579.0,9,16,1
5496.0,2,2,1
11389.0,54,72,5
1964.0,1,3,1
624.0,10,12,1
955.0,1,3,1
7524.0,23,31,3
461.0,10,13,1
4796.0,28,33,6
1828.0,1,1,1
7930.0,30,36,2
5839.0,1,1,1
478.0,24,30,1
3350.0,9,11,3
3931.0,19,22,4
271.0,1,2,1
2334.0,4,6,1
530.0,2,2,1
3421.0,8,10,4
1887.0,5,7,1
435.0,4,6,2
13949.0,1,1,1
38411.0,180,233,6
2572.0,2,3,1
6298.0,26,32,3
13574.0,26,34,2
27573.0,89,112,5
5077.0,21,23,2
642.0,15,15,2
6345.0,2,3,2
5643.0,12,20,1
2176.0,3,4,1
627.0,7,8,1
19391.0,50,67,3
933.0,2,2,1
3274.0,3,4,1
340.0,12,16,1
10061.0,1,1,1
7203.0,18,27,1
11792.0,47,64,4
6563.0,2,2,1
456.0,16,25,1
6319.0,2,2,1
580.0,23,28,1
14270.0,22,28,2
11537.0,30,36,3
5072.0,29,36,2
3994.0,12,13,1
7237.0,3,3,1
750.0,5,13,1
3364.0,3,4,1
445.0,11,15,1
1210.0,2,2,1
2529.0,13,17,2
1750.0,1,1,1
2621.0,12,12,2
7883.0,16,19,3
892.0,4,5,1
1869.0,3,5,2
186.0,10,10,1
5328.0,16,21,4
4444.0,2,2,1
581.0,18,19,2
2052.0,3,3,1
